title,year,adrienne,anita,bob,chingti,david,gheorghe,gina,howard,jacqui,janice,joe,josee,kathy,kerrie,lisa,marty,mike,paola,serkalem,tim
16014638,2005,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
16116069,2005,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
16123324,2005,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
16159603,2005,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
16269961,2005,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
16280269,2005,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
16298372,2006,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
16319130,2006,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
16322484,2006,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
16421236,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
16441967,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
16451559,2005,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
16451593,2005,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
16474174,2006,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
16484614,2006,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
16636175,2006,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
16855181,2006,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
16973975,2006,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
17123304,2007,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
17137849,2007,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
17211608,2007,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
17220890,2007,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
17372038,2007,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
17372189,2007,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
17381351,2007,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
17412558,2007,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
17545732,2007,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
17576866,2007,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
17659929,2007,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17709633,2007,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
17785619,2007,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
17848626,2007,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
17903291,2007,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0
17903293,2007,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
17903295,2007,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
17903296,2007,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
17903297,2007,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
17903298,2007,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
17903299,2007,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
17903300,2007,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
17903303,2007,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
